timestamp,pos_x,pos_y,pos_z,target_x,target_y,target_z,roll,pitch,yaw,vel_x,vel_y,vel_z,angular_vel_x,angular_vel_y,angular_vel_z,accel_x,accel_y,accel_z,f_world_x,f_world_y,f_world_z,f_body_x,f_body_y,f_body_z,tau_x,tau_y,tau_z,u1,u2,u3,u4,u5,T12,T34,T5,alpha1,alpha2theta1,theta2
1762670793.9890277,0.0,0.0,0.075,5.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.990564,0.0,0.0,0.075,5.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.9918408,0.0,0.0,0.075,5.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.9934356,2.103013068659975e-20,3.653068323536459e-21,0.07509278001720499,5.0,0.0,1.5,1.9271756710624885e-19,0.0,0.0,4.057302980172453e-17,5.646038391721966e-17,0.18596630090943841,-4.989285391309309e-16,3.585353319022737e-16,-4.237840448763354e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.99523,2.103013068659975e-20,3.653068323536459e-21,0.07509278001720499,5.0,0.0,1.5,1.9271756710624885e-19,0.0,0.0,4.057302980172453e-17,5.646038391721966e-17,0.18596630090943841,-4.989285391309309e-16,3.585353319022737e-16,-4.237840448763354e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.9965832,2.103013068659975e-20,3.653068323536459e-21,0.07509278001720499,5.0,0.0,1.5,1.9271756710624885e-19,0.0,0.0,4.057302980172453e-17,5.646038391721966e-17,0.18596630090943841,-4.989285391309309e-16,3.585353319022737e-16,-4.237840448763354e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.9980664,9.298509485824552e-20,8.879275202807888e-21,0.07536372105656404,5.0,0.0,1.5,8.768017988643632e-19,0.0,0.0,9.559700679476504e-17,-2.810533191243687e-17,0.3528901718076558,2.482592145591939e-16,8.447151956630933e-16,-6.780775478003532e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670793.9994771,9.298509485824552e-20,8.879275202807888e-21,0.07536372105656404,5.0,0.0,1.5,8.768017988643632e-19,0.0,0.0,9.559700679476504e-17,-2.810533191243687e-17,0.3528901718076558,2.482592145591939e-16,8.447151956630933e-16,-6.780775478003532e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670794.0008473,9.298509485824552e-20,8.879275202807888e-21,0.07536372105656404,5.0,0.0,1.5,8.768017988643632e-19,0.0,0.0,9.559700679476504e-17,-2.810533191243687e-17,0.3528901718076558,2.482592145591939e-16,8.447151956630933e-16,-6.780775478003532e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762670794.0022812,1.88650303187159e-19,-2.1404345086613896e-20,0.07579275268993678,5.0,0.0,1.5,1.1371810109014206e-18,9.47110974035178e-19,9.608617359643769e-24,1.296194485503681e-16,-5.994333123171224e-17,0.5023822679268458,5.306134909171182e-16,1.1430058635231892e-15,9.608617304117413e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
