timestamp,pos_x,pos_y,pos_z,target_x,target_y,target_z,roll,pitch,yaw,vel_x,vel_y,vel_z,angular_vel_x,angular_vel_y,angular_vel_z,accel_x,accel_y,accel_z,f_world_x,f_world_y,f_world_z,f_body_x,f_body_y,f_body_z,tau_x,tau_y,tau_z,u1,u2,u3,u4,u5,T12,T34,T5,alpha1,alpha2theta1,theta2
1762666247.556218,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762666247.5580316,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5596244,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5611513,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5625865,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5640476,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5655653,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5671077,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.568703,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.570181,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5715675,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5728297,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5741804,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5755508,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.57691,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5782497,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5795412,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.580797,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5821047,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5834708,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5848703,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5862978,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5876875,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5891023,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5904968,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5919058,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5933156,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5946867,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.59611,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.5975187,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.6017766,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
1762666247.6032565,0.0,0.0,1.075,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.327000000000005,0.0,0.0,43.327000000000005,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,21.663500000000003,21.663500000000003,0.0,0.0,0.0,-0.0,-0.0
