timestamp,pos_x,pos_y,pos_z,target_x,target_y,target_z,roll,pitch,yaw,vel_x,vel_y,vel_z,angular_vel_x,angular_vel_y,angular_vel_z,accel_x,accel_y,accel_z,f_world_x,f_world_y,f_world_z,f_body_x,f_body_y,f_body_z,tau_x,tau_y,tau_z,u1,u2,u3,u4,u5,T12,T34,T5,alpha1,alpha2theta1,theta2
1762691369.833913,0.0,0.0,0.075,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762691369.8358262,0.0,0.0,0.075,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,48.327000000000005,15.0,0.0,48.327000000000005,0.0,0.0,0.0,25.300686398791637,25.300686398791637,0.0,0.30095733206991737,0.30095733206991737,25.300686398791637,25.300686398791637,0.0,0.30095733206991737,0.30095733206991737,-0.0,-0.0
1762691369.8374693,0.0,0.0,0.075,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,48.327000000000005,15.0,0.0,48.327000000000005,0.0,0.0,0.0,25.300686398791637,25.300686398791637,0.0,0.30095733206991737,0.30095733206991737,25.300686398791637,25.300686398791637,0.0,0.30095733206991737,0.30095733206991737,-0.0,-0.0
1762691369.8393104,-3.4060652557370494e-09,-1.175643744294393e-22,0.07509282362940391,3.0,0.0,1.5,1.0613297936803518e-21,-3.072543542524908e-08,-1.9189985736862218e-23,-6.978091172947705e-06,-4.211488907928352e-17,0.18605371627684175,3.721597741871414e-16,-6.16343736344458e-05,-2.640350397546148e-17,0.0,0.0,0.0,15.0,0.0,48.327000000000005,15.0,0.0,48.327000000000005,0.0,0.0,0.0,25.300686398791637,25.300686398791637,0.0,0.30095733206991737,0.30095733206991737,25.300686398791637,25.300686398791637,0.0,0.30095733206991737,0.30095733206991737,-0.0,-0.0
1762691369.8409564,-3.4060652557370494e-09,-1.175643744294393e-22,0.07509282362940391,3.0,0.0,1.5,1.0613297936803518e-21,-3.072543542524908e-08,-1.9189985736862218e-23,-6.978091172947705e-06,-4.211488907928352e-17,0.18605371627684175,3.721597741871414e-16,-6.16343736344458e-05,-2.640350397546148e-17,0.0,0.0,0.0,15.000069797942055,4.2114947861470734e-16,46.46599871908457,15.00007122563009,4.2119908221417734e-16,46.46599825820087,-1.860855192152235e-17,3.0970813994349145e-06,1.3192672803748315e-18,24.413575379328055,24.413575379328055,5.161802332391525e-06,0.31225732969788467,0.31225732969788467,24.413575379328055,24.413575379328055,5.161802332391525e-06,0.31225732969788467,0.31225732969788467,-8.62632932026055e-18,-8.62632932026055e-18
1762691369.8426185,-3.4060652557370494e-09,-1.175643744294393e-22,0.07509282362940391,3.0,0.0,1.5,1.0613297936803518e-21,-3.072543542524908e-08,-1.9189985736862218e-23,-6.978091172947705e-06,-4.211488907928352e-17,0.18605371627684175,3.721597741871414e-16,-6.16343736344458e-05,-2.640350397546148e-17,0.0,0.0,0.0,15.000069797942055,4.2114947861470734e-16,46.46599871908457,15.00007122563009,4.2119908221417734e-16,46.46599825820087,-1.860855192152235e-17,3.0970813994349145e-06,1.3192672803748315e-18,24.413575379328055,24.413575379328055,5.161802332391525e-06,0.31225732969788467,0.31225732969788467,24.413575379328055,24.413575379328055,5.161802332391525e-06,0.31225732969788467,0.31225732969788467,-8.62632932026055e-18,-8.62632932026055e-18
1762691369.8443558,-1.3407660626789496e-08,-8.557892140533803e-21,0.07536389049821952,3.0,0.0,1.5,7.46682474065893e-20,-1.2092712677245068e-07,3.788773815499167e-20,-1.3311362655799293e-05,8.023426651080211e-18,0.353052986440134,-7.597248481329824e-17,-0.00011749488749751642,9.435786737595927e-17,0.0,0.0,0.0,15.000069797942055,4.2114947861470734e-16,46.46599871908457,15.00007122563009,4.2119908221417734e-16,46.46599825820087,-1.860855192152235e-17,3.0970813994349145e-06,1.3192672803748315e-18,24.413575379328055,24.413575379328055,5.161802332391525e-06,0.31225732969788467,0.31225732969788467,24.413575379328055,24.413575379328055,5.161802332391525e-06,0.31225732969788467,0.31225732969788467,-8.62632932026055e-18,-8.62632932026055e-18
1762691369.845929,-1.3407660626789496e-08,-8.557892140533803e-21,0.07536389049821952,3.0,0.0,1.5,7.46682474065893e-20,-1.2092712677245068e-07,3.788773815499167e-20,-1.3311362655799293e-05,8.023426651080211e-18,0.353052986440134,-7.597248481329824e-17,-0.00011749488749751642,9.435786737595927e-17,0.0,0.0,0.0,15.000133180664863,-8.019147705009943e-17,44.79465068310757,15.000138597553155,-7.741506024408292e-17,44.794648869184236,3.761511847156441e-18,5.935207938262047e-06,-4.736480184990572e-18,23.619715488553688,23.619715488553688,9.892013230436745e-06,0.3231280553930183,0.3231280553930183,23.619715488553688,23.619715488553688,9.892013230436745e-06,0.3231280553930183,0.3231280553930183,1.6387805408070836e-18,1.6387805408070836e-18
1762691369.847785,-1.3407660626789496e-08,-8.557892140533803e-21,0.07536389049821952,3.0,0.0,1.5,7.46682474065893e-20,-1.2092712677245068e-07,3.788773815499167e-20,-1.3311362655799293e-05,8.023426651080211e-18,0.353052986440134,-7.597248481329824e-17,-0.00011749488749751642,9.435786737595927e-17,0.0,0.0,0.0,15.000133180664863,-8.019147705009943e-17,44.79465068310757,15.000138597553155,-7.741506024408292e-17,44.794648869184236,3.761511847156441e-18,5.935207938262047e-06,-4.736480184990572e-18,23.619715488553688,23.619715488553688,9.892013230436745e-06,0.3231280553930183,0.3231280553930183,23.619715488553688,23.619715488553688,9.892013230436745e-06,0.3231280553930183,0.3231280553930183,1.6387805408070836e-18,1.6387805408070836e-18
1762691369.8501155,-2.930814074783577e-08,-5.0131489376365135e-21,0.07579311796836748,3.0,0.0,1.5,3.062620043784128e-20,-2.642432740742408e-07,2.0372113923900888e-19,-1.9034753399204918e-05,3.2800554368623026e-20,0.5026098588620884,-1.3087064001966378e-17,-0.0001679212309796545,2.3801447184080296e-16,0.0,0.0,0.0,15.000133180664863,-8.019147705009943e-17,44.79465068310757,15.000138597553155,-7.741506024408292e-17,44.794648869184236,3.761511847156441e-18,5.935207938262047e-06,-4.736480184990572e-18,23.619715488553688,23.619715488553688,9.892013230436745e-06,0.3231280553930183,0.3231280553930183,23.619715488553688,23.619715488553688,9.892013230436745e-06,0.3231280553930183,0.3231280553930183,1.6387805408070836e-18,1.6387805408070836e-18
